country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Colombia,-56.76,South/Latin America,0.09699999999999999,0.094,0.092,0.092,0.09300000000000001,0.09699999999999999,0.096,0.09300000000000001,0.095,0.10400000000000001,0.111,0.10800000000000001,0.099,0.086,0.075,0.065,0.055999999999999994,0.048
United Arab Emirates,-55.93,Middle east,NA,NA,NA,0.026000000000000002,0.032,0.040999999999999995,0.049,0.055999999999999994,0.06,0.06,0.059000000000000004,0.055999999999999994,0.05,0.044000000000000004,0.037000000000000005,0.031,0.027999999999999997,0.026000000000000002
Sao Tome and Principe,-52.05,Africa,0.17800000000000002,0.145,0.12300000000000001,0.109,0.099,0.094,0.094,0.10099999999999999,0.113,0.129,0.146,0.155,0.146,0.121,0.09,0.071,0.067,0.07
Trinidad and Tobago,-42.71,South/Latin America,0.11599999999999999,0.11199999999999999,0.113,0.11800000000000001,0.12,0.11800000000000001,0.113,0.107,0.10400000000000001,0.10099999999999999,0.096,0.086,0.075,0.068,0.064,0.063,0.057999999999999996,0.055
Dominican Republic,-42.42,South/Latin America,0.281,0.271,0.275,0.28300000000000003,0.27,0.244,0.21899999999999997,0.209,0.20199999999999999,0.18600000000000003,0.165,0.146,0.136,0.13,0.121,0.11,0.099,0.095
Angola,-38.12,Africa,0.715,0.6890000000000001,0.653,0.613,0.578,0.5479999999999999,0.518,0.486,0.45399999999999996,0.425,0.40399999999999997,0.382,0.35100000000000003,0.312,0.281,0.264,0.256,0.25
Algeria,-38.1,Arab States,0.107,0.102,0.09699999999999999,0.09300000000000001,0.09,0.08800000000000001,0.084,0.08,0.076,0.07,0.063,0.055999999999999994,0.049,0.045,0.042,0.04,0.039,0.039
Indonesia,-37.59,Asia & Pacific,0.185,0.191,0.193,0.193,0.19399999999999998,0.19399999999999998,0.193,0.188,0.17800000000000002,0.158,0.133,0.109,0.096,0.09,0.08800000000000001,0.087,0.086,0.083
Myanmar,-37.28,Asia & Pacific,0.483,0.449,0.413,0.382,0.353,0.32,0.285,0.249,0.21600000000000003,0.19,0.16899999999999998,0.153,0.14,0.129,0.11800000000000001,0.11,0.106,0.106
Ethiopia,-35.83,Africa,0.52,0.49,0.467,0.442,0.42,0.397,0.385,0.37200000000000005,0.35600000000000004,0.337,0.321,0.307,0.289,0.267,0.245,0.22699999999999998,0.214,0.20600000000000002
Bulgaria,-35.71,Europe,0.048,0.052000000000000005,0.055999999999999994,0.06,0.063,0.065,0.063,0.061,0.057999999999999996,0.057,0.055999999999999994,0.055,0.054000000000000006,0.05,0.046,0.040999999999999995,0.038,0.036000000000000004
Chile,-35.71,South/Latin America,0.047,0.044000000000000004,0.040999999999999995,0.040999999999999995,0.04,0.039,0.038,0.039,0.040999999999999995,0.042,0.042,0.04,0.038,0.037000000000000005,0.035,0.032,0.028999999999999998,0.027000000000000003
Mongolia,-35.58,Asia & Pacific,0.35100000000000003,0.33399999999999996,0.327,0.325,0.322,0.31,0.29100000000000004,0.266,0.242,0.222,0.20800000000000002,0.195,0.184,0.16699999999999998,0.15,0.134,0.131,0.134
Bolivia (Plurinational State of),-35.47,South/Latin America,0.33399999999999996,0.316,0.312,0.314,0.314,0.303,0.287,0.28,0.281,0.28,0.265,0.245,0.22699999999999998,0.21100000000000002,0.19399999999999998,0.18,0.17300000000000001,0.171
Sri Lanka,-34.78,Asia & Pacific,0.18600000000000003,0.185,0.18899999999999997,0.18899999999999997,0.18600000000000003,0.182,0.174,0.165,0.154,0.145,0.138,0.13,0.121,0.111,0.10300000000000001,0.09699999999999999,0.094,0.09
Morocco,-34.62,Arab States,0.068,0.067,0.064,0.06,0.057,0.057,0.055999999999999994,0.055,0.055,0.054000000000000006,0.052000000000000005,0.049,0.046,0.042,0.038,0.035,0.034,0.034
Malaysia,-32.43,Asia & Pacific,0.027999999999999997,0.032,0.035,0.037000000000000005,0.038,0.039,0.040999999999999995,0.042,0.042,0.04,0.037000000000000005,0.035,0.034,0.032,0.03,0.027999999999999997,0.026000000000000002,0.025
Viet Nam,-31.62,Asia & Pacific,0.243,0.225,0.207,0.193,0.185,0.182,0.17600000000000002,0.16699999999999998,0.155,0.145,0.136,0.129,0.122,0.114,0.105,0.098,0.094,0.09300000000000001
Uzbekistan,-30,Asia & Pacific,0.162,0.188,0.198,0.18899999999999997,0.16899999999999998,0.145,0.124,0.111,0.10300000000000001,0.09699999999999999,0.09,0.081,0.07400000000000001,0.069,0.066,0.064,0.063,0.063
"China, Taiwan Province of",-28.57,Asia & Pacific,0.037000000000000005,0.04,0.043,0.045,0.046,0.047,0.049,0.05,0.051,0.05,0.049,0.047,0.044000000000000004,0.040999999999999995,0.039,0.036000000000000004,0.035,0.035
"China, mainland",-28.33,Asia & Pacific,0.162,0.161,0.16,0.159,0.158,0.155,0.15,0.14400000000000002,0.136,0.127,0.12,0.11199999999999999,0.106,0.099,0.09300000000000001,0.08900000000000001,0.087,0.086
China,-27.97,Asia & Pacific,0.159,0.158,0.157,0.157,0.155,0.152,0.14800000000000002,0.141,0.134,0.126,0.11800000000000001,0.111,0.10400000000000001,0.09699999999999999,0.091,0.08800000000000001,0.086,0.085
Guyana,-27.68,South/Latin America,0.083,0.079,0.081,0.085,0.09,0.094,0.1,0.106,0.11199999999999999,0.114,0.11199999999999999,0.105,0.096,0.08800000000000001,0.084,0.08199999999999999,0.081,0.081
El Salvador,-27.42,South/Latin America,0.11,0.09300000000000001,0.08900000000000001,0.09300000000000001,0.1,0.105,0.10800000000000001,0.11,0.114,0.11900000000000001,0.124,0.125,0.122,0.115,0.106,0.098,0.09300000000000001,0.09
North Macedonia,-27.27,Europe,0.079,0.08800000000000001,0.084,0.077,0.067,0.061,0.053,0.045,0.040999999999999995,0.040999999999999995,0.044000000000000004,0.046,0.046,0.044000000000000004,0.040999999999999995,0.038,0.035,0.032
Kiribati,-27.03,Asia & Pacific,0.044000000000000004,0.043,0.045,0.046,0.047,0.046,0.046,0.046,0.044000000000000004,0.040999999999999995,0.037000000000000005,0.033,0.031,0.032,0.032,0.032,0.03,0.027000000000000003
Namibia,-27.01,Africa,0.262,0.244,0.243,0.243,0.245,0.251,0.267,0.295,0.33299999999999996,0.364,0.374,0.361,0.33899999999999997,0.32,0.309,0.297,0.285,0.273
Ecuador,-26.17,South/Latin America,0.185,0.188,0.18899999999999997,0.18600000000000003,0.177,0.17,0.162,0.156,0.14400000000000002,0.128,0.107,0.091,0.083,0.081,0.081,0.08,0.079,0.079
Panama,-24.24,South/Latin America,0.27699999999999997,0.262,0.243,0.233,0.23800000000000002,0.22899999999999998,0.21,0.183,0.163,0.147,0.132,0.11800000000000001,0.105,0.098,0.096,0.09699999999999999,0.099,0.1
Togo,-23.33,Africa,0.311,0.305,0.298,0.28600000000000003,0.272,0.26,0.249,0.239,0.22899999999999998,0.22,0.21,0.201,0.192,0.183,0.175,0.171,0.166,0.161
Barbados,-22,South/Latin America,0.054000000000000006,0.057999999999999996,0.063,0.063,0.063,0.059000000000000004,0.055999999999999994,0.053,0.051,0.05,0.05,0.049,0.047,0.043,0.039,0.037000000000000005,0.038,0.039
Armenia,-21.82,Europe,0.23800000000000002,0.235,0.207,0.156,0.109,0.078,0.061,0.054000000000000006,0.05,0.053,0.055,0.055999999999999994,0.05,0.044000000000000004,0.039,0.038,0.04,0.043
Lao People's Democratic Republic,-21.8,Asia & Pacific,0.377,0.36,0.33899999999999997,0.314,0.29100000000000004,0.27,0.259,0.247,0.239,0.223,0.21100000000000002,0.196,0.187,0.17800000000000002,0.17300000000000001,0.168,0.16699999999999998,0.165
Mexico,-21.74,South/Latin America,0.044000000000000004,0.044000000000000004,0.048,0.055,0.057999999999999996,0.055,0.05,0.047,0.047,0.047,0.046,0.046,0.045,0.043,0.040999999999999995,0.039,0.037000000000000005,0.036000000000000004
Slovakia,-20.93,Europe,0.059000000000000004,0.065,0.067,0.065,0.063,0.062,0.061,0.059000000000000004,0.054000000000000006,0.048,0.043,0.040999999999999995,0.039,0.038,0.037000000000000005,0.037000000000000005,0.036000000000000004,0.034
Samoa,-20.59,Asia & Pacific,0.053,0.044000000000000004,0.040999999999999995,0.038,0.036000000000000004,0.035,0.035,0.036000000000000004,0.035,0.035,0.034,0.033,0.031,0.028999999999999998,0.027999999999999997,0.027000000000000003,0.027000000000000003,0.027000000000000003
Malawi,-19.72,Africa,0.271,0.264,0.27,0.27399999999999997,0.273,0.261,0.245,0.23199999999999998,0.223,0.22,0.218,0.213,0.203,0.19,0.18100000000000002,0.177,0.177,0.175
Nicaragua,-18.66,South/Latin America,0.326,0.293,0.27399999999999997,0.262,0.254,0.244,0.23399999999999999,0.226,0.221,0.21600000000000003,0.209,0.2,0.19,0.179,0.172,0.16899999999999998,0.16899999999999998,0.17
"China, Macao SAR",-18.25,Asia & Pacific,0.226,0.21899999999999997,0.20199999999999999,0.18100000000000002,0.16,0.146,0.14,0.138,0.14,0.14,0.13699999999999998,0.132,0.126,0.122,0.11900000000000001,0.11599999999999999,0.114,0.11199999999999999
